word,frequency
BUILD,104
WIPE,3
OUT,28
GCB,2
NEWCASTLE,11
BRIDGLEY,1
PRINT,33
CHOICE,33
1,98
OASIS,18
LLANDUDNO,1
NPP,2
PR34,1
FLOURISHBIZ,1
IT,191
EVANS,10
ALIGNMENT,3
CUBBIES,1
LANGUAGE,12
LEARNING,39
PUFFLOWER,1
RESOLVIO,1
LEON,5
VISUAL,13
ARTS,42
CREOLEPOT,1
INDEPENDENT,16
ALLIANCE,34
FANTASY,4
CRAFT,29
CAFE,118
CY,2
UNIVERSAL,28
INSIDE,7
TIMETEX,1
INVEST,55
DEWI,1
ROW,13
LTD.,241
PRECISIONFX,1
OY,2
MOCO,1
INTERIOR,27
DESIGN,258
CAESAREA,1
DEVELOPMENT,149
MOON,29
AGENCY,111
GO,72
CAB,5
DEBT,6
PLAN,11
MERIDIAN,2
RESOURCES,38
CO,279
SAPPHIRE,13
LETTINGS,89
ELITE,112
EDGE,34
CORPORATION,69
ZINARVA,1
GROUNDED,1
IN,127
SOUTHSEA,5
WIND,10
CHEN,11
ARNA,1
TAX,22
ADAMUS,1
M,162
A,272
EAST,108
BATTLE,2
OF,326
EVESHAM,2
Z&G,1
SUPPLIES,86
ASPIRE,9
LUCIA,2
OCULOS,1
CHAPMAN,2
PARK,82
LANE,40
SPK,2
FM,20
SDMANN,1
M.S.GRADINARU,1
K&S,3
RENAS,1
ROSARIA,1
24,19
KARAK,4
SMART,89
DIGITANTS,1
MICKS,1
SNACKS,4
CHESTERFIELD,2
SHOTBLASTING,1
GG,12
POSITIVE,13
TONIA,1
CONCEPTS,10
TRAINING,139
FISHFLIX,1
SASEN,1
COMPLIANCE,21
SOFT,22
STIX,1
SAVE,11
TIME,54
RELAX,2
(MANCHESTER),4
COSTELLO,3
SPRING,20
PARKWAY,5
CURRENSO,1
CATHY,1
HAO,3
FORWARDING,3
"CO.,",320
HASSAN,17
GOODS,58
NICOLAELIZ,1
FLIGHTERO,1
ROWE,4
SPOTLESS,7
CHARM,6
LEADERS,3
BROKERS,5
LOST,6
WATERBOTTLE,1
REDCLIFFE,2
M3PRO,1
INTEGRAL,1
RELOCATION,9
ISARENA,1
COZMA,1
LIVEMORE,1
FUNDING,13
23-2,1
ENVISAGE,2
SPACES,15
D,118
MR,56
TRIMMER,1
TPRICE,1
ENTERPRICE,1
FOXTROT,3
HATOIV,1
ICM,1
PROJECTS,87
DONGYIN,1
STYLE,35
BEER,5
FERO,1
FILM,45
LIAM,4
DEMPSEY,4
UNILUMIN,1
LIGHT,25
EWX,1
BARS,20
SHINY,3
VERSE,3
GREENWICH,7
PRIVATE,84
DOCTORS,7
PHOENIX,45
VIEW,26
ROLL,8
CENTER,24
MEDICAL,146
SCIENCES,5
RESEARCH,40
BLACKPLUSS,1
SKYTTAN,1
AURIUS,1
WAGNER,2
EU,6
CORP,58
3,45
MOVERS,6
PRELOVED,3
FASHION,74
SHIVSAKTI,1
AGRARIAN,1
ARDEM,1
ORCHID,6
HIRE,118
ABSORBENT,1
MINDS,18
PARTNERS,160
EASY,38
ENTERPRISE,134
AVANTWARE,1
AIRPORT,16
MINICABS,1
JUSTICE,2
REPORTS,2
FUNDAMENTALS,1
NOEL,3
COMPANY,508
WORKPLACE,3
SURVIVAL,1
SKILLS,16
J&DRIN,1
NEXUS,32
SASSIFY,1
AGENCYTHIRDLY,1
P4,1
SAIL,2
TURKEY,3
ANDINA,1
CEVICHE,1
(2023),9
AMERSHAM,3
MULTI,12
CENTRE,121
TIMISOARA1989,1
SARAH&FEFE,1
ACCOMPLISHED,1
GAS,53
CHECKINCHEAPLY,1
PICH,1
RESCUE,9
EQUINE,10
SHOWING,1
SOCIETY,8
RECYCLY,1
SOFTWARE,91
CAFFE,2
CONCERTO,1
LEEDS,28
WEST,98
"CIVILS,",1
GROUND,13
WORKFORCE,5
DIRECT,79
ADVANTAGE,8
MALACHITE,2
COLLEGE,23
EIGHT8EIGHT,1
NJS,1
COMMERCIAL,123
KBH,5
ARLO,1
WURSTHAUSLONDON,1
RELIAOPT,1
LICENCE,3
PAD,9
STAYS,43
GRENASDESTORE,1
O'BRIEN'S,1
LA,45
MAISON,12
DE,34
BÈAUTE,1
AESTHETICS,122
LASER,16
CONSULTANTS,175
AL-HAIDER,1
APEXX,2
DISTRIBUTION,75
FAFEZA,1
HOME2HOMEDELIVERYSERVICE,1
MCK,1
(LONDON),32
ROSAL,1
CARM,2
DELIGHTIX,1
HAIBOO,1
C,138
SLR,3
CONTRACTORS,104
SMARTWHALE,1
NEO,11
O,25
AMANI,2
LITTLE,87
HO,4
WANDEE,1
SPA,37
THAI,19
MASSAGE,12
GOLDENSPAM,1
HERON,3
M17,1
MCR,40
GLO,7
APP,18
LINACMPNY,1
JB,17
HOSPITALITY,68
ELVET,2
SADDLER,2
(PROPERTIES),3
CHELSEA,6
CARPET,17
SCENTS,6
JP,21
YATES,1
RESOLUTIS,1
NJT,1
ANATOLYA,1
HORIZON,33
INTEGRATED,15
PH,10
STEEL,26
VIASIDA,1
DSLP,1
K1,3
TRITON,3
MARINE,47
FOSTER,13
PHELPS,4
(HOLDINGS),22
SPARTAN,6
BRAMPTON,3
INNS,14
7PM,1
SPARK,25
SHIFT,9
FANCY,4
BISTRO,17
SENOTHERAPEUTICS,1
ADVANGAS,1
LAWS,2
MADE,25
RIVIERA,2
MAGAZIN,1
LIFE,98
INGREDIENTS,1
RIVISTA,1
BELLEROLANE,1
YONGJIA,1
TRANSCEND,2
FLOW,22
MAVERICK,6
MOTORCYCLES,8
PARACKAL,1
FOUNDERS,4
THINKING,6
VISUALS,8
HOTELS,12
S.R.L.,1
ALOTTA,1
SPACE,60
PALMA,2
RETAIL,127
ABBA,4
AMMA,1
SKIPPERS,1
EN,6
INDIGOSEM,1
REDGEL,1
T,93
PRICE,7
BEAR,25
BURGER,27
GOURMET,6
WELLIES,2
LINCOLN,6
TIANWEN,1
LAUREN,7
ZOE,6
CARTER,6
NORTHKEW,1
IB,6
ACCOUNTING,47
UTILITIES,26
CPL,1
CAMFREIGHT,1
SX,2
DESIGNS,60
BROOKFIELD,2
SWAT,1
ESTATES,221
ROTORUA,1
BRAND,41
BEASTS,2
CDR,2
CHANDRA,1
BABY,18
SPRINGFIELD,3
EFFELLE,1
D.M,1
HANDYMAN,16
LANDSCAPES,37
BROMANIA,1
TIDY,6
TRENDS,12
MODERN,29
AIDS,3
ALIXOMON,1
MORTALSOFT,1
HSH,1
SELECT,17
ROOF,12
WINDOW,33
DOORS,39
MVDJ,1
CLEANING,392
MUHAMMAD,27
NUMAN,3
MANZOOR,2
IMOQUE,1
D'OLIVEIRA,1
TOPSEC,1
ABOVE,8
BEYOND,32
PROFESSIONALS,14
COTSWOLD,11
FETTLER,1
DECONCONSTRUCT,1
TANGJUN,1
DAILY,16
PARCEL,8
DELIVERY,54
RENA,1
PRO,124
LICHAOJING,1
BRICEL,1
DQ,1
ONE-OFF,1
RAVES,3
NEXAGOODS,1
VERKHUB,1
HOSTING,16
ASHA,1
HELP2INVEST,1
LOGISTICS,238
GADGET,5
LAB,45
LECH,1
ZIOLO,1
RSR,2
FLETCHER,7
K,86
HAIR,122
EXTENSIONS,6
LOMOND,3
WESTCOTT,1
ADELA,1
TRIBECA,1
D&Y,2
FAMILY,71
C7CWG,1
WENFANFENG,1
CRISTI,1
SPEDITION,8
NAMAN,1
FORCE,14
MULTIPLIER,1
BWF,1
STEVE,5
HISCOCK,1
VK,3
78,2
HIDDEN,7
GEM,16
GLAMPING,7
SKY,49
SIRENS,2
LSB,2
SCAFFOLD,7
TECHNOCRAT,1
INSPECTION,15
MSLOGIX,1
WRIGHT’S,1
RENTALS,71
EYEBROWLADY,1
GLASGOW,29
CALA,1
SERRA,4
SILVER,26
TRANS-LOGISTICS,1
KIDDIES,1
C.I.C.,73
MANSION,7
OCEANUS,1
SAMANTHA,5
NENE,3
PAXLAR,1
FOR,122
UP,52
NILA,2
QITELE,1
(EUROPE),4
TALKTANK,1
KILO,2
DELTA,17
BOWLING-RYAN,1
ROLLS-ROYCE,1
BENTLEY,3
COLORFUL,3
MUTLU,1
MUTFAK,2
4,68
HELL,3
OR,6
HIGH,45
WATER,31
VIBRECO,1
ENGINEERING,242
ROAD,123
LAZIO,1
SUNBLISSRETREATS,1
PHANNAKORN,1
STANLEY,10
JONES,33
CWS,2
FOODS,128
ELLIOTT,6
SMITH,34
EK,5
TRUCK,13
PLANT,42
(BOWDON),2
PERIWINKLEE,1
CROWNOGSHOP,1
VALUE,12
FAMILIAR,2
GILESRO,1
WOONDAL,1
DUFFY,4
GODWARD,1
BYRON,1
TM,74
MJS,2
MOTS,3
MOROGOM,1
DIRECTOR,6
KABIKA,1
MOUKOUMANI,2
YAKETE,2
KABILA,6
TOPSHELF,1
BARGAINS,10
DRM,3
PLANNING,46
NICCMOTORCYLES,1
29,6
DEVONSHIRE,4
PLACE,34
FREEHOLD,31
NIKA,2
IVOR,1
WILSON,15
ROB,6
SNIP,1
SHAHROUR,1
RHODIUM,2
SOLUTION,95
EXPERTS,26
BRIGHT,30
LASQUEZ,1
BALWINDER,1
BIOTHERAPY,1
ESSENCHI,1
GALACTUS,1
FASHONAIRE,1
ANDY,7
SHARPE,5
METROLOGY,1
1OOAK,1
ULTIMUM,1
HELPING,13
ALMS,1
PROJECT,113
MJI,2
VENTURES,199
V&M,1
GLAM,7
WELLCARE,2
WAISTCO,1
PINDROP,1
ANA,7
FLIGHTS,5
TICKETS,2
PVT,79
ANROD,1
YACHT,8
MARSH,4
VEHICLE,46
CLUCK,2
'N',7
131,1
(FREEHOLD),9
BARK,6
BOWL,2
CANINE,10
NUTRITION,31
5555,1
MEADOWFIELD,1
QUICK,28
CLICK,17
CENTRAL,29
SELLERS,5
FLUFFY,3
CHAI,8
CHENAK,1
JOC,1
TRD,5
INNOVA,3
SWIFT,28
QWC,1
MANNER,1
WISE,24
ARMA2022,1
BRANCH,5
OFF,20
TITANIUM,3
FEATHER,3
SPEECH,5
PAOSAR,1
SL,7
HI,13
LAWYER,3
TYRON,2
KABANGE,2
CAMBERLEY,2
WITH,50
WAYSTAR,1
DAVECO,1
COMPUTAIR,1
AJ&AG,1
SOLAR,55
CONNECTED,8
BLISSVIEW,1
BOUGHEY,1
CHEF,24
CATFORD,1
BRISTOL,28
163,1
MAGIC,28
MOPS,1
QUNFANGHE,1
EFFORTLESSRENTALS,1
CGD,1
ACORN,8
EDIT,3
NEST,26
MOTORCO,1
SIDEWALK,2
IBUMIX,1
KUMARS,1
MS,20
MOONDARK,1
PINEAPPLE,4
PAY,6
ALLFARTHING,1
JAMIL,3
COATINGS,15
DUFFKIRK,1
AL,58
HAMD,2
HALAL,18
MEAT,18
(WALLINGTON),1
NAIL,19
SOCIALS,4
NIDU,1
GALLERY,19
ILKAPLUS,2
EXCELLENT,7
FLYING,11
EXULOS,1
REBELVAPESUK,1
PERSONAL,13
BAVARIAN,3
PIZZA&PRETZEL,1
DTC,2
EXCHANGEGB,1
CHILDCARE,19
COSQUNECOM,1
ZAIRLONDON,1
H&A,5
CORPORATE,46
KAI,3
SHUN,2
PEMAMISU,1
UFJ,1
DEVELOPMENTS,268
DOMA,1
IKSERI,1
LMR,2
CLADDING,10
GENSA,1
CGP,2
(MALMESBURY),1
MORWAL,1
ALPARYAS,1
MPS,3
SECURE,21
P,82
ELECTRICS,12
GCL,1
CONTRACTING,48
TASTLY,1
PEOPELMART,1
GRAM-UK,1
LRYYTG,1
GEMMA,7
RABY,1
INTELLIGENT,9
VALVE,1
VANESSA,4
LUDLOW,4
TUTORING,13
DRAGOSPOP,1
Q&K,1
SONS,106
VISVERSE,1
LUOSONG,1
AUTOELECTRO,1
WAREHOUSE,17
SMR,5
(SW),16
AKMALSAFI,1
SHALI,1
BIRDANDFEATHER,1
OSTERIAHOVE,1
KK1,1
FAST,64
DRIVING4U,1
CGSW,1
AF,6
WELDING,26
CHURCHFIELDS,1
OWURAKU,1
AMOAH,1
IJAZ,2
TASAWAR,2
SIEMENZI,1
SILVA,4
SWAN,9
STOP,37
ENGINE,3
SHOP,174
(HULL),11
GAINSBOROUGH,2
(BEDMINSTER),1
SLICE,6
BESTRONG,1
SIGNALIZINONISE,1
MMK,3
EDITORIAL,2
LIFTED,2
IDEA,5
CITYSHUTTLE,2
CROOKED,3
BILLET,3
MANUFACTURING,17
PACKET,1
WRAPPIT,1
EUROPEAN,20
SPEEDY,6
SDH,1
KONRO,1
CATERING,174
ADVANCED,29
ECO,53
DISABILITY,3
ACCESS,48
SPRUCE,1
RETROFIT,6
RIANMA,1
FUNFAIR,1
CRAZY,10
ADVENTURE,12
GOLF,44
SPORTING,4
GG-653-180,1
MIMIR,1
FIONA,4
COCHRAN,1
SACHET,1
REGULATED,1
27,4
LANSDOWN,2
JOE,12
TRUMAN,1
FEELING,3
HUMAN,15
DRINI,1
SONGTRACT,1
SALTER,2
TRACKING,3
ACE,30
N,102
KHERA,2
ISHA,3
UKA,1
MARGARET,3
CASH,15
CARRY,6
SHEIKHS,1
ASTROPARTPICKER,1
LUXACO,1
Y,22
WETHERILL,1
MILLER,12
RATHMORE,1
PEOPLE,37
BILBY,1
GMAC,3
PLAY,28
TOM'S,1
PLONK,1
SARVALORA,1
BOSTON,7
THELA,1
YOGA,16
FOOT,7
PODIATRY,6
C&S,4
SOUTH,94
GOODNEWS,1
HOUSEHOLDS,1
LI,4
PRTLX,1
KREE,1
CHOCOLATES,1
CORVWOOD,1
HUTCHINSON,2
AI,111
MALCOLM,1
PEBBLE,5
ASSOCIATES,93
HOSE,2
FLOORLAYINGSERVICES,1
HAPPE,1
EARTH,19
PADIHAM,1
BURNLEY,3
ACCOUNTANCY,26
VIRIDIAN,1
MEADOWS,12
FLOW-TRADE,1
HOT,19
CHA,8
37,6
HANIA&CO,1
PINHOE,1
EXETER,5
WASH,58
URBAN,47
TAILS,4
AURELIUS,3
LION,21
TWO,39
BELIEVE,2
BOUTIQUE,55
OZOLS,1
REDLINE,1
RECRUITS,3
AGV,1
DUFLESS,1
KRAKEN,1
CYBER,36
E.M.,1
ARB.,1
CO.,45
GRATEFEUL,1
GATE,19
APARTMENTS,24
FREAKY,1
UNIQUEY,1
GOLDFINGER,1
PASSPORT,1
AIRMASS,1
UZB,1
RIS,2
COMPUTER,15
M&I,2
CCAP,1
VOICE,13
MBARE,1
FOUNDATION,15
WILSTEAD,1
TANDORI,1
LUAZUL,1
NPS,1
CULHAM,1
VILLAGE,28
ADPA,1
CONSTRUCTIONS,44
SG,10
INDIAN,24
ROOM,19
OPG,1
WAHAB,3
SAAB,2
EJHSUPPLIES,1
MAY,15
LAMB,4
HAYCOX,1
BELSIZE,4
HEALTHCARE,218
HOLDCO,38
CITY,78
EV,11
INVESTCO,5
CLARK,12
DEVELOPERS,25
DJOUKAM,1
SON,44
QC,4
CHINA,18
MIRANDAFOODSLTD,1
BOBABOT,1
LUCENT,2
ALPHA,51
CENTAURI,2
JOSXPH,1
SOP,1
PWF,2
CONTRACTS,43
K.T.R,1
MUASO,1
RECORDS,24
ANGELA'S,1
KMD,3
CLAIMS,10
EMPIRE,43
DR,30
(BFD),1
L,107
NOWAK,1
DILPASAND,1
UBHC,1
MISTZ,1
ECONO,2
DRIVE,25
AUTOS,68
LUKE,6
ASHLEY,8
FLO,2
BELLA,19
ABDUL,10
ALI,43
PASSIVAI,1
FOCUSVETCONSULTANCY,1
SLW,1
R,135
BATHROOMS,36
PUDDLES,2
MICHAEL,19
WELLESLEY,1
YOUNG,22
PRIME,94
PHYSIQUES,1
CHANGING,2
HANDS,17
BAILEY,10
ROBERTS,13
EMMA,8
DUDDING,1
CAPPA,2
CONSTRUCT,71
FIZE,1
SHARKO,1
KILLINGWORTH,1
MONTE,2
LOOM,1
OREA,1
SOCIAL,67
CHIPS,18
HALLGATE,1
ISLEAID,1
ZAMAN786,1
DAVIS,3
CLARKE,10
TECHREVOL,1
FILM2PIXEL,1
LIIUGS,1
LZ,1
COLLECTION,26
CING,1
EDWARD,9
STREET,101
MOBILE,54
VALETING,28
WISEOCEAN,1
VOYAGE,3
KELOUKELOU,1
OFFSHORE,23
MEDICS,8
ZERODESK,1
IBITOLA,1
WRIGHT,17
RAINBOW,9
ART,75
CHERRY,13
GARDENS,38
WIGAN,4
TSG,1
STORAGE,54
TAILOR,8
JASKOL,1
FRESH,35
WHOLESALE,79
NW,57
ROBERT,12
TAYLOR,25
(GROUP),6
AMVB,1
TURBODROP,1
SQUAD,8
CLEANS,11
SHERIFF,2
HIJAMA,1
TREZISE,1
(CONTRACT,1
HAULAGE),1
HEATING,137
ROSEWAY,1
BREATHE,3
CREATIONS,49
TILE,6
RC,15
BROOKLAND,1
SUNEIRA,1
WEB,41
QUANTUM,26
TOTH89,1
HEAR,3
ME,36
RAW,10
HAR,1
COLE,7
HENLEY,6
CZVV,1
PETALS,3
HOPE,15
HGC,1
THEBEAUTYCODE,1
985,1
ONLINE,112
PURPLE,17
LAVENDER,5
APOLLO,12
MACHOUSES,1
CLEAM,1
RAVI,1
HUMANIZY,1
STANNERS,2
CELL,3
MERRYFALL,1
CAKES,21
BAKERY,30
ONELOVE,1
WELLNESS,58
KEM,2
WIGS,3
FBAACCS,1
HFP,1
VERGE,1
ULYSSES,1
D&A,4
FACADE,3
NOVI,2
WYCHWOOD,1
CAD,5
SANBERUZADRE,1
VIKING,5
CARMICHAEL,2
LOPAREO,1
PLATINUM,29
WALWORTH,1
AMIGOS,3
GARAGE,41
ATLASTOWER,1
SKYLARK,1
IKNOOR,1
BURTON,3
BRITTON,1
STUNTS,1
CLEAN4ME,1
UNIVERSE,14
CANTERBURY,4
MIDLANDS,38
EQUITY,15
MOO'S,1
BOBS,1
BITS,4
ATRIUM,1
JD,11
COACH,20
FOREVER,16
JEWELLERY,25
BROOKSTONE,1
WEALTH,40
NOVESEA,1
MARNIKIR,1
WILLIAM,16
GUY,9
HAIRDRESSING,7
WESTBOURNE,5
CART,15
JETWASH,1
NATHANSAVES,1
GREEN,174
LEAVES,3
U.K,9
SETTERSSACADEMY,1
GGOLDTRANSPORT,1
FACTORY,25
8,17
GIOVANNI,1
MKG,1
BATHROOM,6
MERRY,5
MOOS,1
VASILICA,4
PRENTICE,1
IGNITES,1
CALL,12
ABSOLUTELY!,1
HOLIDAYS,14
LEATHERSELLERS',1
FEDERATION,2
SCHOOLS,9
HULL,17
YORKSHIRE,64
BOWIESMAN,1
HIT,2
VIOLABEE,1
AVRAMS,1
TRADER,27
GET,24
SAVVY,5
FIOR,1
IMAGE,11
BRABUS,1
DEMOLISH,1
PEREJA,1
SUNFLOWER,5
OCCASIONS,2
THELANDOFDREAMS,1
BY,175
SEAN,9
AT,61
GOWER,3
SD,15
PHOTOGRAPHY,37
JPARK,1
BENGINEER,1
PAVING,10
FENCING,17
ZENDEAVOUR,1
TMI-SCIENTIFIC,1
SPECIAL,14
ALLLASTSAINTS,1
DNJ,2
SHACK,9
CAM,10
TOWERS,6
ESTATE,160
CHEEKS,1
GM,14
LANDSCAPE,10
KYZCOALITION,1
BITMART,1
LOREN,1
NELSON,7
NIB,1
VIOLET,3
NORTHAMPTON,7
MAK,12
IXTEL,1
BORISLAV,1
TAELIM,1
EDINBURGH,15
SOFA,5
ABR,2
COMMUNICATIONS,43
MCOMPS,1
JL1990,1
POPPY'S,2
PAMPAS,2
SHEPHEARD,1
OPAL,5
VON,6
MERCURY,4
TRICK,2
SHOT,5
HALL,18
ARQUZ,1
SJF,2
TRANSACTECH,1
ONIP,1
CLOUD,38
NINETY,1
9,19
THEARTIST,1
GOODWAY,1
DELIVERIES,23
MILTON,12
KEYNES,4
HUBERT,1
HARDGATE,1
SEV,1
MOTOR,56
NOVANOURISH,1
PICTEILIN,1
OPULENT,9
PROBIOFLORA,1
NOVEX,1
AMOREY,1
CONSULTECH,2
DAIZA,1
OLIVIA,7
BODO,1
HR,40
PURE,34
ADONIS,2
PLUSH,1
LEICESTER,16
FLY,17
HUBS,3
MUZEM,1
JUDGE,2
STOCK,10
ENGAGE,5
PADEL,11
A-Z,5
COMPLETE,15
RJRSCARS,1
FOREST,20
HEART,15
MATHIAS-EDMUNDS,1
DYSLEXIA,2
BYTES,3
DIAMOND,38
NOW,14
MOVES,3
RESOLUTIONISTS,1
PAULA,1
JANE,12
JURELA,1
PAOLA,1
